Record Length,4500,,Source,CH1
Sample Interval,CH1:0.0000000100000,,Second,Volt
Vertical Units,CH1:V,,-0.00002250000,2.64000,
Vertical Scale,CH1:1.00,,-0.00002249000,2.64000,
Vertical Offset,CH1:-3.48000,,-0.00002248000,2.60000,
Horizontal Units,s,,-0.00002247000,2.64000,
Horizontal Scale,0.0000025000,,-0.00002246000,2.60000,
Model Number,SDS105X,,-0.00002245000,2.64000,
Serial Number,NDS10PA1162593,,-0.00002244000,2.64000,
Software Version,5.06.02.21,,-0.00002243000,2.60000,
,,,-0.00002242000,2.68000,
,,,-0.00002241000,2.64000,
,,,-0.00002240000,2.60000,
,,,-0.00002239000,2.68000,
,,,-0.00002238000,2.68000,
,,,-0.00002237000,2.60000,
,,,-0.00002236000,2.68000,
,,,-0.00002235000,2.68000,
,,,-0.00002234000,2.60000,
,,,-0.00002233000,2.68000,
,,,-0.00002232000,2.68000,
,,,-0.00002231000,2.64000,
,,,-0.00002230000,2.64000,
,,,-0.00002229000,2.68000,
,,,-0.00002228000,2.64000,
,,,-0.00002227000,2.64000,
,,,-0.00002226000,2.68000,
,,,-0.00002225000,2.60000,
,,,-0.00002224000,2.68000,
,,,-0.00002223000,2.64000,
,,,-0.00002222000,2.64000,
,,,-0.00002221000,2.60000,
,,,-0.00002220000,2.64000,
,,,-0.00002219000,2.64000,
,,,-0.00002218000,2.64000,
,,,-0.00002217000,2.68000,
,,,-0.00002216000,2.60000,
,,,-0.00002215000,2.64000,
,,,-0.00002214000,2.64000,
,,,-0.00002213000,2.64000,
,,,-0.00002212000,2.60000,
,,,-0.00002211000,2.64000,
,,,-0.00002210000,2.64000,
,,,-0.00002209000,2.68000,
,,,-0.00002208000,2.64000,
,,,-0.00002207000,2.60000,
,,,-0.00002206000,2.60000,
,,,-0.00002205000,2.64000,
,,,-0.00002204000,2.60000,
,,,-0.00002203000,2.68000,
,,,-0.00002202000,2.60000,
,,,-0.00002201000,2.64000,
,,,-0.00002200000,2.68000,
,,,-0.00002199000,2.64000,
,,,-0.00002198000,2.60000,
,,,-0.00002197000,2.68000,
,,,-0.00002196000,2.68000,
,,,-0.00002195000,2.60000,
,,,-0.00002194000,2.64000,
,,,-0.00002193000,2.64000,
,,,-0.00002192000,2.64000,
,,,-0.00002191000,2.68000,
,,,-0.00002190000,2.68000,
,,,-0.00002189000,2.60000,
,,,-0.00002188000,2.68000,
,,,-0.00002187000,2.64000,
,,,-0.00002186000,2.60000,
,,,-0.00002185000,2.60000,
